parameter,value,unit,notes
H0,67.4,km s^-1 Mpc^-1,example Planck-like Hubble constant
h,0.674,dimensionless,H0 divided by 100 km s^-1 Mpc^-1
Omega_m,0.315,dimensionless,total matter density parameter
Omega_b,0.049,dimensionless,baryon density parameter
Omega_cdm,0.266,dimensionless,cold dark matter density parameter
Omega_lambda,0.685,dimensionless,dark energy density parameter for flat model
Omega_r,0.0,dimensionless,radiation neglected in late-time teaching examples
sigma8,0.811,dimensionless,fluctuation amplitude scaffold
n_s,0.965,dimensionless,scalar spectral index scaffold
c,299792.458,km s^-1,speed of light
